token,layer,linearly_separable
0,0,False
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,True
0,7,True
0,8,True
0,9,True
0,10,True
0,11,True
0,12,True
0,13,True
0,14,True
0,15,True
0,16,True
0,17,True
0,18,False
0,19,False
0,20,False
0,21,False
0,22,False
0,23,False
1,0,False
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
1,6,False
1,7,False
1,8,False
1,9,False
1,10,False
1,11,False
1,12,False
1,13,False
1,14,False
1,15,False
1,16,False
1,17,False
1,18,False
1,19,False
1,20,False
1,21,False
1,22,False
1,23,False
2,0,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
2,6,False
2,7,False
2,8,False
2,9,False
2,10,False
2,11,False
2,12,False
2,13,False
2,14,False
2,15,False
2,16,False
2,17,False
2,18,False
2,19,False
2,20,False
2,21,False
2,22,False
2,23,False
3,0,False
3,1,False
3,2,False
3,3,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,9,False
3,10,False
3,11,False
3,12,False
3,13,False
3,14,False
3,15,False
3,16,False
3,17,False
3,18,False
3,19,False
3,20,False
3,21,False
3,22,False
3,23,False
4,0,False
4,1,False
4,2,False
4,3,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
4,11,False
4,12,False
4,13,False
4,14,False
4,15,False
4,16,False
4,17,False
4,18,False
4,19,False
4,20,False
4,21,False
4,22,False
4,23,False
5,0,False
5,1,False
5,2,False
5,3,False
5,4,False
5,5,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
5,11,False
5,12,False
5,13,False
5,14,False
5,15,False
5,16,False
5,17,False
5,18,False
5,19,False
5,20,False
5,21,False
5,22,False
5,23,False
6,0,False
6,1,False
6,2,False
6,3,False
6,4,False
6,5,False
6,6,False
6,7,False
6,8,False
6,9,False
6,10,False
6,11,False
6,12,False
6,13,False
6,14,False
6,15,False
6,16,False
6,17,False
6,18,False
6,19,False
6,20,False
6,21,False
6,22,False
6,23,False
7,0,False
7,1,False
7,2,False
7,3,False
7,4,False
7,5,False
7,6,False
7,7,False
7,8,False
7,9,False
7,10,False
7,11,False
7,12,False
7,13,False
7,14,False
7,15,False
7,16,False
7,17,False
7,18,False
7,19,False
7,20,False
7,21,False
7,22,False
7,23,False
8,0,False
8,1,False
8,2,False
8,3,False
8,4,False
8,5,False
8,6,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
8,12,False
8,13,False
8,14,False
8,15,False
8,16,False
8,17,False
8,18,False
8,19,False
8,20,False
8,21,False
8,22,False
8,23,False
9,0,False
9,1,False
9,2,False
9,3,False
9,4,False
9,5,False
9,6,False
9,7,False
9,8,False
9,9,False
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
9,15,False
9,16,False
9,17,False
9,18,False
9,19,False
